,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
91,600519.SH,20231027,1664.0,1691.88,1660.6,1676.71,1672.23,4.48,0.2679,34262.39,5754795.486
92,300750.SZ,20231026,174.0,178.3,168.81,178.07,175.98,2.09,1.1876,414205.67,7175542.947
93,600519.SH,20231026,1667.0,1688.0,1662.01,1672.23,1677.5,-5.27,-0.3142,22386.35,3741418.874
94,300750.SZ,20231025,178.2,179.5,175.68,175.98,176.42,-0.44,-0.2494,215341.81,3818928.277
95,600519.SH,20231025,1670.11,1698.0,1667.02,1677.5,1642.95,34.55,2.1029,36178.98,6075417.064
96,300750.SZ,20231024,178.0,179.2,175.3,176.42,177.26,-0.84,-0.4739,243794.59,4310104.361
97,600519.SH,20231024,1648.0,1653.36,1621.21,1642.95,1643.98,-1.03,-0.0627,29861.46,4894807.617
98,300750.SZ,20231023,180.3,180.3,175.8,177.26,181.0,-3.74,-2.0663,202233.21,3597554.198
99,600519.SH,20231023,1629.97,1660.0,1621.6,1643.98,1645.0,-1.02,-0.062,25234.23,4138279.588
100,300750.SZ,20231020,179.0,187.69,179.0,181.0,182.7,-1.7,-0.9305,300268.93,5478351.217
101,600519.SH,20231020,1630.0,1655.0,1616.25,1645.0,1630.0,15.0,0.9202,45376.01,7421390.806
102,300750.SZ,20231019,184.41,185.68,182.28,182.7,186.3,-3.6,-1.9324,174541.6,3209465.7
103,600519.SH,20231019,1700.0,1700.03,1626.03,1630.0,1728.0,-98.0,-5.6713,73492.37,12146921.769
104,300750.SZ,20231018,185.1,188.25,183.6,186.3,185.44,0.86,0.4638,176519.25,3284047.971
105,600519.SH,20231018,1718.8,1742.0,1717.18,1728.0,1726.0,2.0,0.1159,20317.5,3511987.514
106,300750.SZ,20231017,185.51,189.3,184.57,185.44,184.76,0.68,0.368,215583.0,4027297.388
107,600519.SH,20231017,1739.0,1739.44,1716.0,1726.0,1729.9,-3.9,-0.2254,14945.23,2577312.288
108,300750.SZ,20231016,190.34,190.53,183.91,184.76,190.6,-5.84,-3.064,246836.49,4603170.883
109,600519.SH,20231016,1750.98,1756.0,1722.45,1729.9,1751.0,-21.1,-1.205,20789.65,3603604.61
110,300750.SZ,20231013,193.85,194.83,189.6,190.6,195.94,-5.34,-2.7253,284222.38,5429864.563
111,600519.SH,20231013,1770.88,1778.01,1738.19,1751.0,1786.0,-35.0,-1.9597,25027.88,4387687.934
112,300750.SZ,20231012,195.01,197.8,194.0,195.94,194.77,1.17,0.6007,242059.12,4744179.131
113,600519.SH,20231012,1797.9,1798.23,1777.2,1786.0,1778.5,7.5,0.4217,14865.07,2657095.942
114,300750.SZ,20231011,197.87,198.6,194.1,194.77,194.72,0.05,0.0257,202482.45,3964353.023
115,600519.SH,20231011,1784.65,1784.65,1768.0,1778.5,1770.0,8.5,0.4802,21944.86,3896568.648
116,300750.SZ,20231010,197.88,198.0,194.72,194.72,195.5,-0.78,-0.399,198654.6,3895932.692
117,600519.SH,20231010,1782.89,1798.98,1768.0,1770.0,1777.0,-7.0,-0.3939,20283.92,3615557.182
118,300750.SZ,20231009,201.0,201.28,193.0,195.5,203.03,-7.53,-3.7088,337428.26,6617775.154
119,600519.SH,20231009,1796.94,1796.94,1764.9,1777.0,1798.55,-21.55,-1.1982,29762.68,5279950.406
120,300750.SZ,20230928,204.0,206.5,202.58,203.03,203.66,-0.63,-0.3093,158095.24,3223265.861
121,600519.SH,20230928,1824.98,1824.98,1797.8,1798.55,1814.0,-15.45,-0.8517,20537.84,3704812.96
122,300750.SZ,20230927,206.3,208.49,202.45,203.66,204.5,-0.84,-0.4108,218489.59,4470658.973
123,600519.SH,20230927,1815.0,1833.5,1802.8,1814.0,1816.0,-2.0,-0.1101,20879.94,3791876.119
124,300750.SZ,20230926,206.67,207.35,203.5,204.5,209.28,-4.78,-2.284,202537.82,4150919.715
125,600519.SH,20230926,1828.0,1834.88,1813.1,1816.0,1832.38,-16.38,-0.8939,15761.96,2870852.363
126,300750.SZ,20230925,213.02,213.62,208.71,209.28,210.93,-1.65,-0.7823,136053.55,2864421.9
127,600519.SH,20230925,1847.5,1848.0,1826.59,1832.38,1849.0,-16.62,-0.8989,13979.13,2565773.541
128,300750.SZ,20230922,205.5,211.45,205.5,210.93,206.73,4.2,2.0316,225090.65,4696859.644
129,600519.SH,20230922,1805.63,1849.96,1792.41,1849.0,1798.39,50.61,2.8142,34390.46,6287832.575
130,300750.SZ,20230921,210.01,210.95,206.67,206.73,209.9,-3.17,-1.5102,162149.29,3368171.87
